,Unnamed: 0,Sale Date,Sale Price,Location,Year Built,Garden,Garage,Type,Style,Bedrooms,Bathrooms,First Time Buyer
276,276,2021-08-16,390672.00,Rivermount,1946,Yes,Yes,Detached, 1-Storey,4,2,no
277,277,2021-08-16,224909.00,Rivermount,1912,No,No,Terraced, 2-Storey,5,2,yes
278,278,2021-08-16,522069.00,Brookville,2012,Yes,No,Detached, 1-Storey,3,2,no
279,279,2021-08-16,474578.00,Brookville,,Yes,Yes,Detached, 2-Storey,3,2,no
280,280,2021-10-04,538811.00,Avoca,2018,Yes,No,Semi-Detached, 1-Storey,2,2,no
281,281,2021-10-04,395005.00,Rivermount,1938,Yes,Yes,Detached, 1-Storey,3,2,no
282,282,2021-10-04,386507.00,Rivermount,1924,Yes,Yes,Detached, 2-Storey,4,1,no
283,283,2021-10-04,874215.00,Avoca,2016,Yes,No,Detached, 2-Storey,4,2,no
284,284,2021-10-04,488891.00,Brookville,,Yes,Yes,Detached, 1-Storey,3,2,yes
285,285,2021-10-04,603159.00,Brookville,2006,Yes,No,Detached, 2-Storey,3,2,yes
286,286,2021-10-04,530036.00,Brookville,2020,Yes,Yes,Detached, 1-Storey,3,2,no
287,287,2021-10-04,728630.00,Oak Park,1982,Yes,No,Detached, 1-Storey,4,2,no
288,288,2021-10-04,329909.00,Broomhouse,1973,Yes,Yes,Detached, 1-Storey,3,1,no
289,289,2021-10-04,304100.00,Summerston,1966,Yes,Yes,Detached, 1-Storey,3,1,no
290,290,2021-10-04,272305.00,Summerston,1931,Yes,No,Detached, 2-Storey,3,2,no
291,291,2021-10-04,411940.00,Oak Park,1976,Yes,No,Detached, 1.5-Storey,3,2,no
292,292,2021-10-04,304259.00,Oak Park,1960,Yes,No,Detached, 1-Storey,2,1,no
293,293,2021-10-04,304029.00,Oak Park,1976,Yes,No,Duplex, 1-Storey,5,2,no
294,294,2021-10-04,422905.00,Rivermount,1915,No,No,Terraced, 1-Storey,3,2,no
295,295,2021-10-04,336182.00,Rivermount,1941,Yes,No,Detached, 1-Storey,3,1,no
296,296,2021-10-04,327380.00,Beacon Hill,1943,Yes,Yes,Detached, 1-Storey,3,1,no
297,297,2021-10-04,280210.00,Beacon Hill,1935,No,Yes,Bungalow, 1-Storey,2,1,no
298,298,2021-10-04,337822.00,Brookville,2015,No,No,Semi-Detached, 1-Storey,1,1,no
299,299,2021-10-04,453697.00,Brookville,2020,Yes,Yes,Detached, 2-Storey,3,2,no
300,300,2021-11-24,621822.00,Oak Park,1979,Yes,No,Detached, 1-Storey,4,2,no
301,301,2021-11-24,317632.00,Oak Park,1962,Yes,Yes,Detached, 1-Storey,2,1,yes
302,302,2021-11-24,422637.00,Brookville,2016,Yes,Yes,Detached, 1-Storey,3,2,no
303,303,2021-11-24,915209.00,Porter Square,,Yes,No,Detached, 1-Storey,3,2,yes
304,304,2021-11-24,422911.00,Brookville,,Yes,Yes,Detached, 1-Storey,3,2,yes
305,305,2021-11-24,566533.00,Brookville,2011,Yes,Yes,Detached, 1-Storey,3,2,no
306,306,2021-11-24,715386.00,Brookville,2006,Yes,Yes,Detached, 2-Storey,3,2,no
307,307,2021-11-24,457805.00,Porter Square,2011,Yes,Yes,End-of-Terrace, 2-Storey,2,2,no
308,308,2021-11-24,313890.00,Brookville,1988,Yes,Yes,Detached, 1.5-Storey,2,1,no
309,309,2021-11-24,521639.00,Brookville,2017,Yes,No,Detached, 1-Storey,4,2,no
310,310,2021-11-24,515949.00,Porter Square,2020,Unknown,No,Semi-Detached, 1-Storey,1,1,no
311,311,2021-11-24,609847.00,Porter Square,2018,Yes,Yes,Detached, 1-Storey,3,2,yes
312,312,2021-11-24,450121.00,Porter Square,2020,Yes,Yes,Detached, 1-Storey,3,2,yes
313,313,2021-11-24,744269.00,Porter Square,2009,Yes,Unknown,Detached, 2-Storey,4,2,no
314,314,2021-11-24,577652.00,Brookville,2007,Unknown,Yes,Detached, 2-Storey,3,2,yes
315,315,2021-11-24,554762.00,Brookville,2007,Yes,Yes,Detached, 2-Storey,3,2,no
316,316,2021-11-24,535104.00,Brookville,2015,Yes,No,Detached, 2-Storey,4,2,no
317,317,2021-11-24,492089.00,Brookville,2018,Yes,Yes,Detached, 1-Storey,3,3,no
318,318,2021-11-24,577244.00,Brookville,2007,Yes,No,Detached, 2-Storey,3,2,no
319,319,2021-11-24,446404.00,Avoca,2012,Yes,Yes,Detached, 1.5-Storey,3,2,no
320,320,2021-12-19,724835.00,Porter Square,2020,Yes,Yes,Detached, 2-Storey,3,2,no
321,321,2021-12-19,734419.00,Porter Square,2018,Yes,Yes,Detached, 2-Storey,3,2,no
322,322,2021-12-19,359086.00,Oak Park,1983,Yes,Yes,Detached, 1.5-Storey,3,1,yes
